,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
1350,55,1985,755787,3.47,2977.0,18.1,6.3,75,32.0,154
1351,55,1980,637246,3.37,2916.0,18.4,6.4,63,26.9,155
1352,55,1975,539979,3.06,2881.0,18.7,6.2,53,23.6,158
1353,55,1970,464410,2.76,2681.0,19.0,6.2,46,18.8,157
1354,55,1965,405259,2.11,1056.0,19.0,6.2,40,14.4,156
1355,55,1960,365047,2.06,1008.0,18.5,6.3,36,12.2,156
1356,55,1955,329661,1.57,0.0,18.0,6.35,33,10.3,156
1357,56,2020,3989167,-0.19,-10000.0,38.3,2.06,57,58.1,132
1358,56,2019,3996765,-0.15,-10000.0,37.8,2.01,58,57.7,132
1359,56,2018,4002942,-0.14,-10000.0,37.8,2.01,58,57.2,132
1360,56,2017,4008716,-0.17,-10000.0,37.8,2.01,58,56.8,132
1361,56,2016,4015450,-0.22,-10000.0,37.8,2.01,58,56.5,131
1362,56,2015,4024183,-0.37,-19068.0,37.7,2.0,58,56.4,130
1363,56,2010,4099099,-0.53,-23962.0,37.0,1.8,59,57.3,125
1364,56,2005,4210168,-0.71,-29667.0,35.9,1.58,61,57.1,121
1367,56,1990,5410399,0.75,-8732.0,31.0,2.26,78,55.0,97
1368,56,1985,5211454,0.76,-9565.0,29.8,2.27,75,54.2,95
1369,56,1980,5017833,0.58,-19089.0,29.1,2.39,72,52.5,93
1370,56,1975,4873639,0.67,-14685.0,28.5,2.6,70,50.3,91
1371,56,1970,4713342,1.52,17040.0,28.2,2.8,68,48.0,84
1372,56,1965,4371527,1.75,19257.0,28.0,2.93,63,45.5,82
1373,56,1960,4007723,1.54,13637.0,27.8,2.91,58,43.1,84
1374,56,1955,3713133,1.03,8976.0,27.4,2.75,53,40.1,82
1393,57,2020,31072940,2.15,-10000.0,21.5,3.89,137,56.7,47
1394,57,2019,30417856,2.19,-10000.0,20.9,4.12,134,56.1,46
1395,57,2018,29767102,2.22,-10000.0,20.9,4.12,131,55.5,46
1396,57,2017,29121465,2.25,-10000.0,20.9,4.12,128,54.9,47
1397,57,2016,28481945,2.27,-10000.0,20.9,4.12,125,54.2,47
1398,57,2015,27849205,2.36,-10000.0,20.7,4.18,122,53.6,47
1399,57,2010,24779619,2.58,30000.0,20.0,4.37,109,50.2,47
1400,57,2005,21814642,2.5,5000.0,19.2,4.64,96,46.7,49
1401,57,2000,19278856,2.53,-25400.0,18.5,5.02,85,43.2,50
1402,57,1995,17014057,2.86,-3200.0,18.1,5.34,75,39.5,52
1403,57,1990,14773277,2.94,-8000.0,17.6,5.88,65,36.1,53
1404,57,1985,12783613,2.95,-2468.0,17.1,6.35,56,32.7,53
1406,57,1975,9985946,2.71,-28600.0,16.5,6.9,44,29.6,57
1408,57,1965,7739473,3.13,6000.0,17.7,6.84,34,26.0,66
1409,57,1960,6635230,2.97,12001.0,17.8,6.64,29,23.3,66
1410,57,1955,5730594,2.62,12000.0,17.6,6.44,25,18.9,66
1428,58,2020,10423054,-0.48,-16000.0,45.6,1.3,81,84.9,87
1429,58,2019,10473455,-0.46,-16000.0,43.8,1.34,81,84.3,87
1430,58,2018,10522246,-0.45,-16000.0,43.8,1.34,82,83.7,87
1431,58,2017,10569450,-0.43,-16000.0,43.8,1.34,82,83.1,86
1432,58,2016,10615185,-0.42,-16000.0,43.8,1.34,82,82.6,85
1433,58,2015,10659750,-0.42,-32360.0,43.4,1.34,83,82.1,83
1435,58,2005,11224791,0.26,22717.0,39.4,1.29,87,75.0,73
1439,58,1985,9968238,0.7,20048.0,33.9,2.06,77,70.6,63
1441,58,1975,9014085,0.8,4154.0,32.4,2.53,70,66.9,62
1442,58,1970,8663571,0.49,-37425.0,32.3,2.55,67,64.2,61
1445,58,1955,8011124,0.88,-14002.0,26.9,2.48,62,54.1,49
1466,59,2017,110874,0.56,-200.0,30.8,2.16,326,35.2,195
1467,59,2016,110261,0.6,-200.0,30.8,2.16,324,35.1,194
1468,59,2015,109599,0.63,-200.0,30.6,2.18,322,35.1,194
1469,59,2010,106233,0.3,-705.0,29.2,2.3,312,35.3,194
1470,59,2005,104661,0.35,-702.0,26.0,2.43,308,35.3,196
1471,59,2000,102833,0.5,-793.0,23.9,2.81,302,35.3,196
1472,59,1995,100288,0.81,-842.0,22.1,3.46,295,34.5,196
1473,59,1990,96331,-0.73,-3038.0,20.4,4.14,283,33.4,194
1474,59,1985,99946,2.34,-117.0,20.0,4.23,294,33.2,193
1475,59,1980,89032,-0.76,-2641.0,18.8,4.3,262,32.9,194
1476,59,1975,92494,-0.42,-2352.0,17.8,4.6,272,32.5,190
1477,59,1970,94475,-0.03,-1946.0,15.4,4.8,278,32.2,187
1478,59,1965,94636,1.02,-1890.0,15.2,6.4,278,31.3,179
1479,59,1960,89932,2.09,-1146.0,15.6,6.7,265,30.3,180
1480,59,1955,81103,1.13,-1220.0,17.1,5.8,239,29.4,179
1489,60,2000,422051,0.89,-595.0,32.2,2.1,250,99.0,171
1490,60,1995,403738,0.73,-1639.0,30.4,2.1,239,97.5,169
1491,60,1990,389249,2.58,4221.0,27.8,2.45,230,95.5,168
1492,60,1985,342730,0.36,-2971.0,24.8,2.55,203,97.9,170
1493,60,1980,336685,0.49,-3714.0,21.4,3.52,199,89.2,166
1494,60,1975,328493,0.41,-5337.0,18.6,4.49,194,85.8,164
1495,60,1970,321883,1.41,-3181.0,18.1,5.22,190,78.8,163
1496,60,1965,300056,1.75,-2196.0,17.6,5.61,178,70.4,164
1497,60,1960,275161,3.11,1101.0,19.2,5.61,163,59.4,163
1498,60,1955,236064,2.37,-561.0,20.3,5.61,140,47.5,164
1499,61,2020,168775,0.89,-506.0,31.4,2.32,313,94.9,191
1500,61,2019,167294,0.92,-506.0,30.3,2.42,310,94.8,191
1501,61,2018,165768,0.91,-506.0,30.3,2.42,307,94.8,191
1502,61,2017,164281,0.82,-506.0,30.3,2.42,304,94.7,191
1503,61,2016,162951,0.68,-506.0,30.3,2.42,302,94.6,191
1504,61,2015,161853,0.3,-1519.0,30.1,2.45,300,94.5,191
1505,61,2010,159444,0.13,-1955.0,29.2,2.54,295,94.1,191
1506,61,2005,158402,0.39,-1911.0,28.3,2.74,293,93.6,189
1507,61,2000,155329,1.31,-823.0,27.3,2.88,288,93.1,188
1508,61,1995,145561,2.21,348.0,26.3,2.88,270,92.1,187
1509,61,1990,130482,2.28,20.0,25.2,3.14,242,90.8,189
1510,61,1985,116572,2.28,22.0,23.9,3.08,216,92.3,189
1511,61,1980,104133,2.21,-302.0,22.6,3.52,193,93.8,189
1512,61,1975,93352,2.16,-426.0,21.6,4.12,173,83.6,189
1513,61,1970,83877,2.31,-288.0,20.7,4.72,155,61.9,191
1514,61,1965,74830,2.31,-581.0,20.9,6.03,139,55.5,188
1515,61,1960,66742,1.28,-910.0,21.2,5.83,124,50.1,188
1516,61,1955,62641,0.98,-768.0,22.3,5.53,116,45.7,188
1517,62,2020,17915568,1.9,-9215.0,22.9,2.9,167,51.8,66
1518,62,2019,17581472,1.93,-9215.0,21.6,3.13,164,51.4,66
1519,62,2018,17247849,1.97,-9215.0,21.6,3.13,161,51.0,66
1520,62,2017,16914970,2.0,-9215.0,21.6,3.13,158,50.7,67
1521,62,2016,16583076,2.03,-9215.0,21.6,3.13,155,50.3,67
1522,62,2015,16252429,2.13,-10026.0,21.3,3.19,152,50.0,67
1523,62,2010,14630417,2.24,-22846.0,19.7,3.62,137,48.4,67
1530,62,1975,6433728,2.73,-27506.0,17.0,6.58,60,37.1,76
1531,62,1970,5621792,2.91,-8254.0,16.9,6.7,52,35.5,78
1532,62,1965,4869716,2.95,-2062.0,16.8,6.8,45,34.0,83
1533,62,1960,4210747,3.04,-849.0,17.2,6.99,39,31.1,79
1534,62,1955,3625300,3.08,-573.0,17.8,7.12,34,28.0,83
1535,64,2020,1968001,2.45,-1399.0,18.8,4.51,70,44.9,150
1536,64,2019,1920922,2.49,-1399.0,18.5,4.82,68,44.5,150
1537,64,2018,1874303,2.52,-1399.0,18.5,4.82,67,44.1,151
1538,64,2017,1828145,2.56,-1399.0,18.5,4.82,65,43.7,151
1539,64,2016,1782438,2.6,-1399.0,18.5,4.82,63,43.3,151
1540,64,2015,1737202,2.67,-1401.0,18.4,4.9,62,42.9,151
1541,64,2010,1522599,2.51,-3500.0,18.1,5.2,54,41.0,151
1542,64,2005,1344930,2.28,-5586.0,17.6,5.6,48,39.2,151
1543,64,2000,1201301,1.99,-8233.0,17.0,6.05,43,37.5,152
1544,64,1995,1088854,2.23,-6000.0,16.8,6.5,39,35.9,152
1545,64,1990,975261,2.26,-5601.0,16.8,6.68,35,32.0,151
1546,64,1985,872163,2.21,-6000.0,17.3,6.7,31,24.4,151
1547,64,1980,781677,0.41,-15873.0,18.3,6.25,28,18.2,151
1548,64,1975,765989,1.68,-3000.0,19.7,6.1,27,16.2,149
1549,64,1970,704939,1.64,-1446.0,19.7,6.0,25,15.3,149
1550,64,1965,649790,1.07,-4000.0,20.1,5.95,23,14.4,145
1551,64,1960,616136,1.35,-1996.0,20.4,5.9,22,13.6,147
1552,64,1955,576136,1.48,-2000.0,21.1,5.9,20,11.7,145
1553,63,2020,13132795,2.83,-4000.0,18.0,4.74,53,38.6,75
1554,63,2019,12771246,2.88,-4000.0,17.3,5.05,52,38.3,75
1555,63,2018,12414293,2.87,-4000.0,17.3,5.05,51,38.0,75
1556,63,2017,12067519,2.8,-4000.0,17.3,5.05,49,37.7,75
1557,63,2016,11738429,2.68,-4000.0,17.3,5.05,48,37.4,75
1561,63,2000,8240730,2.54,-36220.0,16.7,6.24,34,33.0,88
1562,63,1995,7269625,2.73,-26995.0,17.0,6.51,30,31.9,90
1563,63,1990,6352283,3.03,0.0,17.5,6.63,26,26.7,92
1564,63,1985,5470702,2.35,-16665.0,17.8,6.59,22,24.7,92
1565,63,1980,4871435,1.64,-31339.0,18.3,6.45,20,21.9,95
1566,63,1975,4491248,1.57,-17514.0,19.0,6.29,18,19.0,95
1567,63,1970,4154605,1.79,0.0,19.2,6.21,17,16.2,95
1568,63,1965,3801705,1.7,0.0,19.6,6.15,15,13.2,90
1569,63,1960,3494162,1.59,0.0,20.1,6.07,14,10.7,92
1570,63,1955,3229649,1.4,0.0,20.8,6.0,13,8.6,90
1571,65,2020,786552,0.48,-6000.0,26.7,2.47,4,26.9,164
1572,65,2019,782766,0.48,-6000.0,25.3,2.57,4,26.8,164
1573,65,2018,779006,0.49,-6000.0,25.3,2.57,4,26.7,164
1574,65,2017,775222,0.5,-6000.0,25.3,2.57,4,26.6,164
1575,65,2016,771368,0.51,-6000.0,25.3,2.57,4,26.5,164
1576,65,2015,767432,0.48,-7000.0,25.0,2.6,4,26.5,164
1577,65,2010,749436,0.09,-10016.0,24.5,2.73,4,26.5,163
1578,65,2005,746163,-0.01,-12650.0,23.1,2.95,4,28.0,163
1579,65,2000,746715,-0.39,-17329.0,22.7,3.05,4,28.9,158
1580,65,1995,761291,0.48,-11573.0,21.7,3.08,4,29.1,158
1581,65,1990,743309,-0.71,-20530.0,21.1,3.13,4,29.6,156
1582,65,1985,770435,-0.25,-19468.0,19.2,3.64,4,30.0,153
1583,65,1980,780153,0.9,-10468.0,18.2,4.06,4,30.5,152
1584,65,1975,745841,1.13,-10872.0,17.3,4.99,4,30.0,150
1585,65,1970,704934,1.58,-8512.0,16.3,5.7,4,29.4,150
1586,65,1965,651868,2.66,-2934.0,16.1,6.15,3,29.2,151
1587,65,1960,571819,3.45,-261.0,16.9,6.45,3,29.0,149
1588,65,1955,482555,3.49,335.0,18.6,6.04,2,28.5,151
1597,66,2000,8463806,1.79,-29000.0,19.1,4.62,307,36.0,85
1598,66,1995,7744503,1.93,-28000.0,18.5,5.15,281,32.9,87
1599,66,1990,7037917,2.12,-27000.0,18.5,5.7,255,28.8,89
1600,66,1985,6337273,2.35,-25000.0,18.8,6.21,230,23.4,89
1601,66,1980,5643173,2.07,-19600.0,19.3,5.8,205,20.7,88
1602,66,1975,5094577,1.73,-17600.0,19.3,5.6,185,20.6,86
1603,66,1970,4676230,1.89,-11601.0,19.1,6.0,170,19.9,86
1604,66,1965,4258732,1.95,-10399.0,19.5,6.3,155,17.6,85
1605,66,1960,3866159,1.93,-7000.0,19.8,6.3,140,15.6,86
1606,66,1955,3514074,1.76,-6000.0,20.0,6.3,128,13.8,85
1624,67,2020,9904607,1.63,-6800.0,24.3,2.49,89,57.3,92
1625,67,2019,9746117,1.65,-6800.0,22.9,2.68,87,56.7,93
1626,67,2018,9587522,1.68,-6800.0,22.9,2.68,86,56.1,94
1627,67,2017,9429013,1.71,-6800.0,22.9,2.68,84,55.5,95
1628,67,2016,9270795,1.73,-6800.0,22.9,2.68,83,54.9,95
1629,67,2015,9112916,1.84,-6000.0,22.5,2.73,81,54.2,95
1630,67,2010,8317470,2.2,-5000.0,20.7,3.24,74,51.1,96
1631,67,2005,7458985,2.56,-8400.0,19.3,3.87,67,48.0,95
1632,67,2000,6574509,2.86,-13000.0,18.2,4.56,59,45.1,96
1633,67,1995,5709014,2.87,-15600.0,17.5,4.92,51,42.9,98
1634,67,1990,4955303,2.97,-14800.0,16.9,5.37,44,40.5,104
1635,67,1985,4281161,3.08,-12400.0,16.4,6.0,38,37.7,105
1636,67,1980,3678279,3.13,-10200.0,16.2,6.6,33,34.9,109
1637,67,1975,3153253,3.03,-9200.0,16.1,7.05,28,32.1,111
1638,67,1970,2716654,2.98,-8200.0,16.1,7.42,24,28.9,116
1639,67,1965,2346015,2.85,-5800.0,16.3,7.42,21,25.7,118
1640,67,1960,2038632,2.85,-2400.0,17.0,7.5,18,22.7,119
1641,67,1955,1771352,2.75,-400.0,17.9,7.5,16,20.0,118
1660,68,2020,9660351,-0.25,6000.0,43.3,1.49,107,71.7,94
1661,68,2019,9684679,-0.24,6000.0,42.0,1.36,107,71.4,94
1662,68,2018,9707499,-0.23,6000.0,42.0,1.36,107,71.2,92
1663,68,2017,9729823,-0.24,6000.0,42.0,1.36,107,71.0,92
1664,68,2016,9752975,-0.26,6000.0,42.0,1.36,108,70.8,90
1665,68,2015,9777923,-0.3,6000.0,41.7,1.33,108,70.5,89
1666,68,2010,9927370,-0.32,5030.0,40.1,1.33,110,68.9,85
1667,68,2005,10085937,-0.26,12318.0,39.1,1.3,111,66.4,81
1668,68,2000,10220507,-0.25,15712.0,38.5,1.38,113,64.6,77
1669,68,1995,10349302,-0.05,19996.0,37.5,1.74,114,65.2,70
1670,68,1990,10377137,-0.36,-18311.0,36.4,1.82,115,65.8,65
1671,68,1985,10566323,-0.35,-23160.0,35.0,1.81,117,65.1,58
1672,68,1980,10754286,0.43,2608.0,34.4,2.25,119,64.2,56
1673,68,1975,10526780,0.31,-4884.0,34.4,2.04,116,62.2,54
1674,68,1970,10366105,0.38,3146.0,34.2,1.98,115,60.1,50
1675,68,1965,10169799,0.34,4343.0,33.5,1.81,112,58.0,37
1676,68,1960,10000994,0.35,-34863.0,32.2,2.32,110,55.9,43
1677,68,1955,9828494,1.03,4951.0,30.8,2.69,109,54.4,37
1678,69,2020,341243,0.65,380.0,37.5,1.77,3,94.4,180
1679,69,2019,339031,0.69,380.0,36.3,1.94,3,94.3,180
1680,69,2018,336713,0.69,380.0,36.3,1.94,3,94.1,180
1681,69,2017,334393,0.66,380.0,36.3,1.94,3,94.0,180
1682,69,2016,332206,0.59,380.0,36.3,1.94,3,93.8,180
1683,69,2015,330243,0.61,-433.0,36.0,1.98,3,93.7,180
1684,69,2010,320328,1.66,2401.0,34.8,2.13,3,93.6,180
1685,69,2005,294979,1.02,588.0,34.3,1.99,3,93.0,179
1686,69,2000,280435,0.94,204.0,32.9,2.06,3,92.4,178
1687,69,1995,267629,0.97,-211.0,31.5,2.19,3,91.6,177
1688,69,1990,255043,1.09,129.0,30.0,2.12,3,90.8,178
1689,69,1985,241582,1.14,52.0,28.4,2.23,2,89.6,176
1690,69,1980,228262,0.92,-786.0,26.9,2.45,2,88.3,175
1691,69,1975,218070,1.3,-212.0,25.4,2.87,2,86.7,174
1692,69,1970,204426,1.23,-551.0,24.5,3.24,2,84.9,173
1693,69,1965,192313,1.84,-146.0,24.2,3.94,2,82.7,171
1694,69,1960,175592,2.18,65.0,25.4,4.17,2,80.3,170
1695,69,1955,157642,2.02,-83.0,26.2,3.86,2,76.8,171
1745,70,1975,32729772,2.8,15527.0,18.1,6.24,20,45.7,25
1746,70,1970,28513866,2.7,10351.0,17.7,6.68,18,41.2,25
1747,70,1965,24954873,2.64,-1568.0,18.0,6.91,15,37.1,27
1748,70,1960,21906914,2.57,-389.0,19.6,6.91,13,33.7,26
1749,70,1955,19294127,2.42,-218.0,20.9,6.91,12,30.6,27
1750,71,2020,40222493,2.32,7834.0,21.0,3.68,93,73.1,36
1751,71,2019,39309783,2.28,7834.0,20.2,4.13,91,72.7,36
1752,71,2018,38433600,2.35,7834.0,20.2,4.13,88,72.1,36
1753,71,2017,37552781,2.57,7834.0,20.2,4.13,86,71.6,37
1754,71,2016,36610632,2.92,7834.0,20.2,4.13,84,71.2,37
1758,71,2000,23497585,3.12,-3572.0,18.2,5.19,54,68.7,43
1759,71,1995,20149338,2.95,-30805.0,17.5,5.65,46,69.0,47
1762,71,1980,13653354,3.16,-9558.0,16.6,6.8,31,65.5,50
1763,71,1975,11684590,3.33,-1717.0,17.0,7.15,27,61.4,51
1764,71,1970,9917983,3.44,-1375.0,17.5,7.4,23,56.2,52
1765,71,1965,8375790,2.82,-372.0,18.6,6.6,19,50.7,64
1766,71,1960,7289760,2.31,-220.0,19.6,6.2,17,42.9,61
1767,71,1955,6502657,2.6,-110.0,20.3,7.3,15,37.6,64
1768,72,2020,4937786,1.13,23604.0,38.2,1.84,72,63.0,124
1769,72,2019,4882495,1.32,23604.0,36.8,1.94,71,62.9,124
1770,72,2018,4818690,1.38,23604.0,36.8,1.94,70,63.0,124
1771,72,2017,4753279,1.22,23604.0,36.8,1.94,69,63.1,121
1772,72,2016,4695779,0.93,23604.0,36.8,1.94,68,63.1,121
1773,72,2015,4652425,0.43,-22364.0,36.5,1.97,68,63.2,121
1776,72,2000,3783103,1.04,16976.0,31.8,1.9,55,60.2,123
1777,72,1995,3592186,0.46,-3075.0,30.1,1.96,52,58.9,122
1778,72,1990,3510885,0.0,-25189.0,28.4,2.26,51,57.9,122
1779,72,1985,3510979,0.73,-12186.0,26.9,2.83,51,57.1,118
1780,72,1980,3384756,1.53,10353.0,26.3,3.25,49,56.2,114
1781,72,1975,3137176,1.53,8867.0,26.1,3.73,46,54.4,113
1782,72,1970,2908421,0.59,-11456.0,26.4,3.86,42,52.0,110
1783,72,1965,2823650,0.23,-21167.0,27.5,4.01,41,46.8,95
1785,72,1955,2873415,-0.27,-34071.0,30.2,3.42,42,44.1,95
1810,73,2005,6529479,1.89,20587.0,28.7,2.91,302,92.5,100
1813,73,1990,4448353,1.97,13084.0,25.9,3.07,206,91.4,108
1814,73,1985,4035068,1.74,521.0,25.4,3.13,186,90.9,110
1815,73,1980,3700919,2.34,12509.0,25.0,3.47,171,89.6,108
1817,73,1970,2813749,2.47,14488.0,23.5,3.78,130,85.3,112
1839,74,2020,2961167,0.44,-11332.0,30.7,1.99,273,55.4,138
1840,74,2019,2948279,0.46,-11332.0,29.4,2.06,272,55.2,138
1841,74,2018,2934847,0.48,-11332.0,29.4,2.06,271,55.0,139
1842,74,2017,2920848,0.5,-11332.0,29.4,2.06,270,54.8,139
1843,74,2016,2906236,0.53,-11332.0,29.4,2.06,268,54.6,139
1844,74,2015,2891021,0.57,-11332.0,29.0,2.08,267,54.5,140
1845,74,2010,2810460,0.51,-17464.0,27.5,2.28,260,53.9,140
1846,74,2005,2740003,0.63,-18409.0,26.2,2.45,253,52.9,138
1847,74,2000,2654701,0.94,-18656.0,24.9,2.7,245,51.9,136
1848,74,1995,2533711,0.92,-22014.0,23.5,2.84,234,50.7,134
1849,74,1990,2419906,0.71,-29387.0,22.2,3.1,223,49.5,133
1850,74,1985,2335510,1.55,-14217.0,20.6,3.55,216,48.5,132
1851,74,1980,2162846,1.3,-19697.0,19.5,4.0,200,46.7,132
1852,74,1975,2028016,1.57,-18207.0,17.4,5.0,187,44.0,131
1853,74,1970,1875642,1.32,-29948.0,17.2,5.78,173,41.3,129
1854,74,1965,1756511,1.52,-28788.0,18.6,5.64,162,37.5,122
1855,74,1960,1628520,1.11,-29969.0,19.8,5.08,150,33.8,126
1856,74,1955,1540956,1.89,-7788.0,22.0,4.22,142,28.7,122
1875,75,2020,10203134,1.0,10220.0,23.8,2.77,115,91.5,88
1876,75,2019,10101694,1.37,10220.0,22.4,3.26,114,90.9,89
1877,75,2018,9965318,1.83,10220.0,22.4,3.26,112,90.4,90
1878,75,2017,9785843,2.42,10220.0,22.4,3.26,110,90.0,91
1879,75,2016,9554286,3.1,10220.0,22.4,3.26,108,89.6,92
1882,75,2005,5765635,2.39,-18782.0,20.6,4.0,65,78.8,105
1883,75,2000,5122493,2.22,-30030.0,19.6,4.3,58,78.0,109
1886,75,1985,2900049,4.05,16331.0,16.3,7.05,33,66.9,126
1887,75,1980,2377995,2.85,-16152.0,15.5,7.38,27,59.9,130
1888,75,1975,2065913,3.72,-5941.0,16.4,7.79,23,57.6,130
1890,75,1965,1173606,4.69,7143.0,17.4,8.0,13,54.2,144
1893,76,2020,18776707,1.21,-18000.0,30.7,2.76,7,57.7,64
1894,76,2019,18551427,1.27,-18000.0,29.6,2.69,7,57.7,64
1895,76,2018,18319618,1.33,-18000.0,29.6,2.69,7,57.7,63
1896,76,2017,18080019,1.4,-18000.0,29.6,2.69,7,57.7,63
1897,76,2016,17830901,1.47,-18000.0,29.6,2.69,7,57.8,63
1899,76,2010,16252279,1.08,-7039.0,28.9,2.54,6,57.3,63
1900,76,2005,15402807,0.64,8906.0,28.6,2.01,6,57.0,62
1906,76,1975,14050226,1.51,-25620.0,22.3,3.61,5,52.9,40
1918,77,2005,36624895,2.76,5029.0,17.6,5.0,64,21.3,33
1919,77,2000,31964557,2.85,-4277.0,17.0,5.35,56,19.6,33
1921,77,1990,23724579,3.6,1005.0,15.4,6.54,42,16.5,36
1922,77,1985,19877083,3.9,761.0,15.0,7.22,35,15.9,37
1923,77,1980,16417197,3.87,-586.0,15.0,7.64,29,15.4,40
1924,77,1975,13575907,3.74,-3583.0,15.1,7.99,24,12.8,45
1925,77,1970,11301394,3.47,-3907.0,15.4,8.11,20,10.3,47
1926,77,1965,9530173,3.25,-4000.0,15.8,8.07,17,8.6,58
1927,77,1960,8120080,3.05,0.0,17.1,7.79,14,7.3,56
1928,77,1955,6987658,2.83,0.0,18.9,7.48,12,6.4,58
1929,78,2020,119449,1.57,-800.0,23.0,3.58,147,57.0,193
1930,78,2019,117606,1.52,-800.0,22.5,3.75,145,56.2,193
1931,78,2018,115847,1.48,-800.0,22.5,3.75,143,55.3,193
1932,78,2017,114158,1.45,-800.0,22.5,3.75,141,54.3,193
1933,78,2016,112524,1.44,-800.0,22.5,3.75,139,53.3,193
1934,78,2015,110930,1.51,-825.0,22.3,3.79,137,52.3,193
1935,78,2010,102927,2.2,-59.0,21.6,3.88,127,47.3,197
1936,78,2005,92325,1.81,-388.0,20.7,3.96,114,43.6,199
1937,78,2000,84396,1.66,-560.0,19.7,4.2,104,43.0,199
1938,78,1995,77723,1.43,-887.0,19.6,4.55,96,36.4,199
1939,78,1990,72400,2.5,-133.0,20.4,4.8,89,35.0,198
1940,78,1985,63986,1.53,-602.0,19.5,5.0,79,33.5,201
1941,78,1980,59301,1.48,-468.0,19.4,5.1,73,32.3,202
1942,78,1975,55114,1.5,-224.0,18.6,5.0,68,29.6,203
1943,78,1970,51151,1.96,-183.0,17.3,6.04,63,24.1,202
1944,78,1965,46429,2.42,-157.0,16.9,6.78,57,19.6,200
1945,78,1960,41202,2.41,-153.0,17.7,6.6,51,16.3,201
1946,78,1955,36573,2.05,-129.0,18.7,6.1,45,13.4,200
1957,79,1990,2095344,3.84,23954.0,23.5,3.65,118,98.2,138
1958,79,1985,1735274,4.86,23068.0,22.3,5.0,97,98.1,142
1964,79,1955,181888,3.51,770.0,22.7,7.2,10,69.3,169
1965,80,2020,6524195,1.69,-4000.0,26.0,3.0,34,35.6,111
1966,80,2019,6415850,1.77,-4000.0,25.3,3.24,33,35.5,112
1967,80,2018,6304030,1.85,-4000.0,25.3,3.24,33,35.4,112
1968,80,2017,6189733,1.9,-4000.0,25.3,3.24,32,35.3,112
1969,80,2016,6074330,1.93,-4000.0,25.3,3.24,32,35.2,112
1970,80,2015,5959121,1.91,-18671.0,25.1,3.3,31,35.2,112
1971,80,2010,5422293,1.33,-15321.0,24.0,2.78,28,35.3,112
1972,80,2005,5075347,0.62,-34582.0,23.8,2.5,26,35.3,113
1973,80,2000,4920712,1.51,-5454.0,22.5,2.96,26,35.3,112
1975,80,1990,4372885,1.83,-25377.0,21.8,4.06,23,37.8,110
1976,80,1985,3993071,2.03,-10832.0,21.7,4.2,21,38.4,111
1977,80,1980,3610970,1.87,-9168.0,20.9,4.59,19,38.6,110
1978,80,1975,3291078,2.08,-2413.0,19.6,5.12,17,38.2,109
1979,80,1970,2969851,2.94,20837.0,19.4,5.21,15,37.5,107
1980,80,1965,2569452,3.44,20621.0,21.6,5.55,13,35.9,115
1981,80,1960,2170094,2.65,5641.0,24.0,5.2,11,34.2,114
1982,80,1955,1904062,1.82,3505.0,25.3,4.36,10,30.6,115
1983,81,2020,7275560,1.48,-14704.0,24.4,2.7,32,35.7,105
1984,81,2019,7169455,1.53,-14704.0,23.1,2.88,31,35.1,105
1985,81,2018,7061507,1.56,-14704.0,23.1,2.88,31,34.5,105
1986,81,2017,6953035,1.57,-14704.0,23.1,2.88,30,33.9,106
1987,81,2016,6845846,1.55,-14704.0,23.1,2.88,30,33.3,106
1988,81,2015,6741164,1.53,-22463.0,22.8,2.93,29,32.7,106
1989,81,2010,6249165,1.67,-22052.0,20.7,3.4,27,30.1,106
1990,81,2005,5751676,1.56,-29620.0,19.1,3.9,25,27.2,106
1991,81,2000,5323700,1.9,-26949.0,18.0,4.81,23,22.0,106
1992,81,1995,4846483,2.62,-12113.0,17.6,5.88,21,17.4,108
1993,81,1990,4258472,2.92,28.0,17.6,6.27,18,15.4,113
1994,81,1985,3687898,2.51,-7022.0,17.6,6.36,16,13.8,115
1996,81,1975,3051577,2.57,9.0,18.6,5.99,13,11.1,115
1997,81,1970,2688428,2.44,6.0,18.7,5.98,12,9.6,117
1998,81,1965,2382594,2.35,15.0,18.8,5.97,10,8.3,116
1999,81,1960,2120898,2.32,9.0,19.0,5.96,9,7.9,116
2000,81,1955,1890854,2.36,-2.0,19.4,5.94,8,7.6,116
2001,82,2020,1886198,-1.08,-14837.0,43.9,1.72,30,68.6,151
2002,82,2019,1906743,-1.13,-14837.0,42.9,1.54,31,68.4,151
2003,82,2018,1928459,-1.16,-14837.0,42.9,1.54,31,68.2,150
2004,82,2017,1951097,-1.17,-14837.0,42.9,1.54,31,68.0,150
2005,82,2016,1974266,-1.17,-14837.0,42.9,1.54,32,67.9,150
2006,82,2015,1997674,-1.17,-16665.0,42.6,1.5,32,67.8,149
2007,82,2010,2118861,-1.21,-17319.0,40.8,1.49,34,67.8,143
2008,82,2005,2251993,-1.13,-14498.0,39.5,1.29,36,68.0,142
2009,82,2000,2384164,-1.01,-9320.0,37.9,1.17,38,68.1,139
2010,82,1995,2508480,-1.2,-23295.0,36.2,1.63,40,68.8,135
2011,82,1990,2664439,0.64,8382.0,34.7,2.16,43,69.2,131
2012,82,1985,2580758,0.47,6152.0,34.7,2.03,41,68.6,130
2013,82,1980,2521391,0.42,7265.0,35.1,1.89,41,67.1,127
